Datetime,CAMDEN PM2.5 1h average [µg/m³],CAMDEN TEMP 1h average [°C],CAMDEN HUMID 1h average [%],CAMDEN WSP 1h average [m/s],CAMDEN WDR 1h average [°],CAMDEN RAIN 1h average [mm/m²],CAMDEN PM10 1h average [µg/m³],CAMDEN NO2 1h average [pphm],CAMDEN CO 1h average [ppm],CAMDEN NO 1h average [pphm],CAMDEN OZONE 1h average [pphm]
2020-01-01 01:00:00,49.8,19.4,49.9,1.3,164.2,,55.9,0.3,0.2,0.0,1.9
2020-01-01 02:00:00,31.4,18.5,59.3,1.6,179.5,,35.3,0.25,0.2,0.0,1.7999999999999998
2020-01-01 03:00:00,23.5,18.5,59.3,1.6,204.0,,42.2,0.2,0.2,0.0,1.7
2020-01-01 04:00:00,21.5,18.7,58.5,2.0,196.3,,46.2,0.3,0.2,0.0,1.6
2020-01-01 05:00:00,23.5,18.6,56.2,2.2,201.9,,70.8,0.4,0.5,0.0,1.5
2020-01-01 06:00:00,36.0,18.6,54.1,1.5,188.2,,74.9,0.4,0.7,0.0,1.6
2020-01-01 07:00:00,48.3,19.1,53.7,1.1,186.8,,72.5,0.3,0.6,0.0,1.7
2020-01-01 08:00:00,52.0,19.7,55.5,1.1,198.0,,67.7,0.3,0.5,0.0,2.0
2020-01-01 09:00:00,48.4,20.6,56.1,0.7,103.8,,62.1,0.2,0.4,0.0,2.3
2020-01-01 10:00:00,40.0,22.4,51.7,0.6,89.6,,60.2,0.3,0.4,0.0,2.9
2020-01-01 11:00:00,32.1,24.8,46.2,1.0,22.3,,53.8,0.2,0.4,0.0,3.6
2020-01-01 12:00:00,30.9,26.4,43.0,2.0,28.4,,58.0,0.2,0.3,0.0,4.4
2020-01-01 13:00:00,31.8,28.5,39.8,1.8,57.1,,62.4,0.3,0.3,0.0,5.1
2020-01-01 14:00:00,40.7,29.1,40.8,2.2,86.8,,73.5,0.2,0.4,0.0,4.4
2020-01-01 15:00:00,39.4,27.4,46.5,2.3,90.3,,76.0,0.2,0.6,0.0,3.7
2020-01-01 16:00:00,58.2,25.7,52.2,2.4,91.1,,112.0,0.2,0.9,0.0,3.8
2020-01-01 17:00:00,67.8,23.9,58.3,2.0,102.8,,63.0,0.1,0.3,0.0,3.0
2020-01-01 18:00:00,46.8,22.9,60.8,1.5,125.1,,59.5,0.1,0.4,0.0,3.3
2020-01-01 19:00:00,36.6,21.6,65.8,1.9,153.7,,80.7,0.2,0.5,0.0,3.0
2020-01-01 20:00:00,46.5,21.2,68.6,1.6,149.6,,75.9,0.1,0.5,0.0,2.7
2020-01-01 21:00:00,54.7,20.8,68.9,2.0,167.6,,57.5,0.4,0.4,0.0,2.3
2020-01-01 22:00:00,50.4,20.5,69.2,2.4,169.2,,58.2,0.2,0.3,0.0,2.5
2020-01-01 23:00:00,40.2,20.1,69.5,2.4,165.9,,54.0,0.1,0.3,0.0,2.5
2020-01-02 00:00:00,34.3,19.7,67.8,1.7,161.3,,52.7,0.2,0.3,0.0,2.5
2020-01-02 01:00:00,37.4,19.6,65.1,1.9,168.9,,74.4,0.2,0.4,0.0,2.7
2020-01-02 02:00:00,50.0,19.5,64.9,1.6,174.9,,82.5,0.2,0.4,0.0,2.6
2020-01-02 03:00:00,51.1,19.5,65.5,2.0,195.7,,79.1,0.2,0.4,0.0,2.5
2020-01-02 04:00:00,49.2,19.5,65.8,1.5,200.4,,65.8,0.2,0.4,0.0,2.4
2020-01-02 05:00:00,52.3,19.5,66.2,1.2,203.8,,66.8,0.2,0.4,0.0,2.3
2020-01-02 06:00:00,56.0,19.6,66.6,1.2,192.9,,70.6,0.3,0.5,0.0,2.2
2020-01-02 07:00:00,53.8,19.9,65.7,0.7,147.9,,74.0,0.5,0.5,0.0,1.9
2020-01-02 08:00:00,50.1,20.5,62.3,0.8,96.3,,66.7,0.4,0.5,0.0,2.1
2020-01-02 09:00:00,47.4,21.2,60.5,0.5,96.7,,71.1,0.3,0.5,0.0,2.4
2020-01-02 10:00:00,52.5,22.1,58.2,0.5,87.8,,78.7,0.3,0.6,0.0,2.9
2020-01-02 11:00:00,60.9,23.0,56.6,1.5,39.8,,89.3,0.3,0.6,0.0,3.3
2020-01-02 12:00:00,62.2,23.7,55.3,1.5,47.7,,92.8,0.3,0.7,0.0,3.9
2020-01-02 13:00:00,58.0,24.9,53.2,1.9,81.1,,93.8,0.4,0.7,0.0,4.2
2020-01-02 14:00:00,62.7,25.6,52.1,2.0,83.6,,89.6,0.4,0.8,0.0,4.5
2020-01-02 15:00:00,67.3,26.2,50.5,1.9,80.8,,67.96666666666667,0.4,0.7,0.0,4.9
2020-01-02 16:00:00,58.2,26.4,48.2,1.7,108.2,,46.333333333333336,0.3,0.4,0.0,3.7
2020-01-02 17:00:00,30.2,25.8,49.2,1.9,98.4,,24.7,0.2,0.2,0.0,3.0
2020-01-02 18:00:00,16.5,24.1,55.3,1.9,94.0,,35.1,0.2,0.2,0.0,2.9
2020-01-02 19:00:00,17.4,22.5,65.1,1.2,107.5,,36.5,0.1,0.3,0.0,2.6
2020-01-02 20:00:00,24.4,21.7,70.1,1.2,132.4,,43.8,0.1,0.3,0.0,2.7
2020-01-02 21:00:00,30.2,21.5,74.5,1.0,117.7,,51.0,0.1,0.3,0.0,2.6
2020-01-02 22:00:00,36.7,20.7,81.2,0.6,105.5,,54.5,0.1,0.4,0.0,2.6
2020-01-02 23:00:00,36.0,20.7,81.0,0.6,199.5,,53.4,0.2,0.4,0.0,2.5
2020-01-03 00:00:00,34.5,20.4,86.0,1.4,239.1,,48.8,0.2,0.4,0.0,2.1
2020-01-03 01:00:00,32.5,20.2,85.9,0.9,216.0,,49.3,0.2,0.4,0.0,2.2
2020-01-03 02:00:00,34.4,20.5,83.8,0.8,219.6,,51.5,0.2,0.4,0.0,2.0
2020-01-03 03:00:00,34.2,20.7,82.0,0.8,235.8,,53.1,0.2,0.4,0.0,1.8
2020-01-03 04:00:00,34.3,20.7,81.8,0.9,223.6,,53.9,0.3,0.4,0.0,1.6
2020-01-03 05:00:00,32.0,20.6,81.5,0.6,190.9,,55.5,0.4,0.5,0.0,1.6
2020-01-03 06:00:00,36.6,21.0,78.4,0.3,223.7,,61.9,0.4,0.5,0.0,2.0
2020-01-03 07:00:00,37.7,21.5,76.7,0.9,240.9,,63.7,0.4,0.5,0.0,1.9
2020-01-03 08:00:00,39.0,22.4,72.4,0.1,317.3,,62.0,0.4,0.5,0.0,2.3
2020-01-03 09:00:00,38.6,24.0,66.0,0.7,354.9,,56.4,0.3,0.4,0.0,2.9
2020-01-03 10:00:00,38.9,25.8,59.8,1.1,2.4,,52.6,0.3,0.4,0.0,3.6
2020-01-03 11:00:00,31.3,28.0,52.8,2.1,22.7,,48.5,0.2,0.3,0.0,4.3
2020-01-03 12:00:00,25.9,30.0,47.0,2.4,32.7,,48.4,0.3,0.3,0.0,5.7
2020-01-03 13:00:00,25.6,31.8,42.8,2.0,36.8,,56.3,0.4,0.3,0.0,6.9
2020-01-03 14:00:00,30.7,33.1,40.9,2.5,47.0,,53.0,0.4,0.3,0.0,7.6
2020-01-03 15:00:00,32.4,32.9,45.0,2.7,79.9,,56.6,0.5,0.3,0.0,7.4
2020-01-03 16:00:00,28.0,31.7,48.3,3.1,79.0,,52.2,0.5,0.3,0.0,6.4
2020-01-03 17:00:00,24.2,30.0,52.2,2.6,77.0,,44.9,0.4,0.2,0.0,4.9
2020-01-03 18:00:00,23.5,28.5,55.8,2.4,63.0,,35.7,0.5,0.2,0.0,3.9
2020-01-03 19:00:00,20.3,27.2,55.7,1.7,69.4,,26.7,0.4,0.2,0.0,2.9
2020-01-03 20:00:00,8.2,26.1,60.6,1.2,69.6,,26.6,0.4,0.2,0.0,2.5
2020-01-03 21:00:00,13.1,25.0,66.3,0.6,91.4,,23.6,0.4,0.2,0.0,2.2
2020-01-03 22:00:00,16.8,24.3,68.8,0.4,145.5,,22.7,0.6,0.2,0.0,1.8
2020-01-03 23:00:00,10.6,23.4,73.3,0.5,178.8,,20.6,0.7,0.2,0.0,1.4
