Station,Variable,Number_of_Gaps,Total_Missing_Hours,Mean_Gap_Length,Median_Gap_Length,Maximum_Gap_Length,Long_Gap_Missing_Hours,Percentage_of_Missing_in_Long_Gaps
Parramatta North,PARRAMATTA NORTH RAIN 1h average [mm/m²],34,20625,606.6176470588235,1.0,20487,20487.0,99.33090909090909
Liverpool,LIVERPOOL RAIN 1h average [mm/m²],73,15035,205.95890410958904,1.0,14800,14800.0,98.4369803791154
Randwick,RANDWICK RAIN 1h average [mm/m²],36,24524,681.2222222222222,3.5,24037,24037.0,98.01419018104713
Penrith,PENRITH WSP 1h average [m/s],46,4538,98.65217391304348,1.0,4427,4427.0,97.55398854120759
Penrith,PENRITH WDR 1h average [°],46,4538,98.65217391304348,1.0,4427,4427.0,97.55398854120759
Camden,CAMDEN RAIN 1h average [mm/m²],73,15164,207.72602739726028,2.0,14488,14488.0,95.54207333157478
Penrith,PENRITH RAIN 1h average [mm/m²],65,4775,73.46153846153847,1.0,4382,4382.0,91.7696335078534
Penrith,PENRITH TEMP 1h average [°C],81,5394,66.5925925925926,1.0,4239,4824.0,89.43270300333704
Penrith,PENRITH HUMID 1h average [%],79,5425,68.67088607594937,1.0,4239,4824.0,88.92165898617512
Penrith,PENRITH PM10 1h average [µg/m³],201,5459,27.1592039800995,1.0,4384,4384.0,80.30774867191793
Penrith,PENRITH PM2.5 1h average [µg/m³],607,5773,9.510708401976936,1.0,4384,4591.0,79.52537675385415
Rozelle,ROZELLE RAIN 1h average [mm/m²],82,1651,20.134146341463413,2.0,799,1086.0,65.77831617201696
Penrith,PENRITH OZONE 1h average [pphm],2043,6933,3.393538913362702,1.0,4442,4442.0,64.07038799942305
Penrith,PENRITH SO2 1h average [pphm],2024,7462,3.6867588932806323,1.0,4442,4755.0,63.722862503350306
Prospect,PROSPECT PM2.5 1h average [µg/m³],590,3930,6.661016949152542,1.0,850,2451.0,62.36641221374046
Penrith,PENRITH NO2 1h average [pphm],2055,7859,3.824330900243309,1.0,4370,4370.0,55.605038809008775
Penrith,PENRITH NO 1h average [pphm],2055,7862,3.8257907542579077,1.0,4370,4370.0,55.58382091070975
Prospect,PROSPECT PM10 1h average [µg/m³],176,1585,9.005681818181818,1.0,850,850.0,53.62776025236593
Penrith,PENRITH CO 1h average [ppm],2216,9020,4.0703971119133575,1.0,4442,4635.0,51.385809312638585
Parramatta North,PARRAMATTA NORTH PM2.5 1h average [µg/m³],413,2393,5.7941888619854724,1.0,991,1167.0,48.76723777684914
Randwick,RANDWICK WSP 1h average [m/s],68,2190,32.205882352941174,3.5,356,1030.0,47.03196347031963
Randwick,RANDWICK WDR 1h average [°],68,2190,32.205882352941174,3.5,356,1030.0,47.03196347031963
Randwick,RANDWICK TEMP 1h average [°C],83,1494,18.0,2.0,355,689.0,46.11780455153949
Randwick,RANDWICK HUMID 1h average [%],82,1510,18.414634146341463,2.0,355,689.0,45.62913907284768
