Station,Variable,Pearson_Correlation
Camden,CAMDEN PM10 1h average [µg/m³],0.6016543059697899
Camden,CAMDEN CO 1h average [ppm],0.5370383448733984
Camden,CAMDEN NO2 1h average [pphm],0.27978422374823736
Camden,CAMDEN NO 1h average [pphm],0.10237117402709688
Camden,CAMDEN HUMID 1h average [%],0.06778819186737725
Camden,CAMDEN TEMP 1h average [°C],0.005902191848171551
Camden,CAMDEN RAIN 1h average [mm/m²],-0.01860378487569222
Camden,CAMDEN OZONE 1h average [pphm],-0.03177912726574786
Camden,CAMDEN WDR 1h average [°],-0.037725201437396313
Camden,CAMDEN WSP 1h average [m/s],-0.11445337321557361
Liverpool,LIVERPOOL CO 1h average [ppm],0.6139714755127412
Liverpool,LIVERPOOL PM10 1h average [µg/m³],0.5104754358619381
Liverpool,LIVERPOOL NO 1h average [pphm],0.418147381092163
Liverpool,LIVERPOOL NO2 1h average [pphm],0.3679596739754142
Liverpool,LIVERPOOL SO2 1h average [pphm],0.2650740076693566
Liverpool,LIVERPOOL HUMID 1h average [%],0.15672297124272014
Liverpool,LIVERPOOL WDR 1h average [°],0.08289984668276396
Liverpool,LIVERPOOL RAIN 1h average [mm/m²],-0.043400188002343576
Liverpool,LIVERPOOL TEMP 1h average [°C],-0.1630847454879305
Liverpool,LIVERPOOL OZONE 1h average [pphm],-0.18695652457078218
Liverpool,LIVERPOOL WSP 1h average [m/s],-0.210883275496229
Parramatta North,PARRAMATTA NORTH CO 1h average [ppm],0.539176692973909
Parramatta North,PARRAMATTA NORTH PM10 1h average [µg/m³],0.49724504868305525
Parramatta North,PARRAMATTA NORTH NO 1h average [pphm],0.26238100403865827
Parramatta North,PARRAMATTA NORTH NO2 1h average [pphm],0.2564631707578909
Parramatta North,PARRAMATTA NORTH SO2 1h average [pphm],0.17088264160623967
Parramatta North,PARRAMATTA NORTH HUMID 1h average [%],0.16391994918494
Parramatta North,PARRAMATTA NORTH WDR 1h average [°],0.08410869923864067
Parramatta North,PARRAMATTA NORTH RAIN 1h average [mm/m²],-0.050642124510929344
Parramatta North,PARRAMATTA NORTH WSP 1h average [m/s],-0.10476774017509348
Parramatta North,PARRAMATTA NORTH OZONE 1h average [pphm],-0.12885944379031927
Parramatta North,PARRAMATTA NORTH TEMP 1h average [°C],-0.14496216666902967
Penrith,PENRITH NO2 1h average [pphm],0.293424385853115
Penrith,PENRITH NO 1h average [pphm],0.2919528798219247
Penrith,PENRITH CO 1h average [ppm],0.23463216499790976
Penrith,PENRITH HUMID 1h average [%],0.17591337537933818
Penrith,PENRITH SO2 1h average [pphm],0.06930079664778113
Penrith,PENRITH PM10 1h average [µg/m³],0.06008854539587587
Penrith,PENRITH RAIN 1h average [mm/m²],-0.03189335388072142
Penrith,PENRITH WDR 1h average [°],-0.10623333329120355
Penrith,PENRITH WSP 1h average [m/s],-0.17314372037099043
Penrith,PENRITH TEMP 1h average [°C],-0.1978173334641572
Penrith,PENRITH OZONE 1h average [pphm],-0.19950632497401594
Prospect,PROSPECT PM10 1h average [µg/m³],0.5286462315400576
Prospect,PROSPECT CO 1h average [ppm],0.515831787389994
Prospect,PROSPECT NO2 1h average [pphm],0.2897643310610512
Prospect,PROSPECT NO 1h average [pphm],0.27679466097454075
Prospect,PROSPECT SO2 1h average [pphm],0.16236482706564506
Prospect,PROSPECT HUMID 1h average [%],0.11709739571217233
Prospect,PROSPECT WDR 1h average [°],0.04763464430173778
Prospect,PROSPECT TEMP 1h average [°C],-0.05664204208167898
Prospect,PROSPECT OZONE 1h average [pphm],-0.10066838009773485
Prospect,PROSPECT WSP 1h average [m/s],-0.17827218272303422
Randwick,RANDWICK PM10 1h average [µg/m³],0.5908164162520017
Randwick,RANDWICK NO 1h average [pphm],0.16554807465466392
Randwick,RANDWICK NO2 1h average [pphm],0.1494840462195274
Randwick,RANDWICK HUMID 1h average [%],0.08147897412322133
Randwick,RANDWICK SO2 1h average [pphm],0.07194045016503768
Randwick,RANDWICK TEMP 1h average [°C],0.015223755719181938
Randwick,RANDWICK WDR 1h average [°],0.011988820496156316
Randwick,RANDWICK RAIN 1h average [mm/m²],-0.03434802831817825
Randwick,RANDWICK OZONE 1h average [pphm],-0.03789322153377926
Randwick,RANDWICK WSP 1h average [m/s],-0.05405997734263089
Rozelle,ROZELLE PM10 1h average [µg/m³],0.5993653413934782
Rozelle,ROZELLE CO 1h average [ppm],0.492161343846273
Rozelle,ROZELLE NO2 1h average [pphm],0.32648742568924344
Rozelle,ROZELLE NO 1h average [pphm],0.2736823403969892
Rozelle,ROZELLE SO2 1h average [pphm],0.13054701743657462
Rozelle,ROZELLE HUMID 1h average [%],0.11232102028622937
Rozelle,ROZELLE WDR 1h average [°],0.04770427379534097
Rozelle,ROZELLE TEMP 1h average [°C],-0.004370910563558986
Rozelle,ROZELLE WSP 1h average [m/s],-0.02711749437535456
Rozelle,ROZELLE RAIN 1h average [mm/m²],-0.03562498485327119
Rozelle,ROZELLE OZONE 1h average [pphm],-0.09907069786479716
