Station,Lag_Hours,Pearson_Correlation
Camden,1,0.8703198717987981
Camden,3,0.5802335613947508
Camden,6,0.40429343899999126
Camden,12,0.26646911277923124
Camden,24,0.17906497148001088
Camden,48,0.19467778520575155
Liverpool,1,0.8566106696734259
Liverpool,3,0.5819981139965955
Liverpool,6,0.3616087701095879
Liverpool,12,0.19518016753353948
Liverpool,24,0.3427981371633825
Liverpool,48,0.24001093400985204
Parramatta North,1,0.847599912841193
Parramatta North,3,0.5890101377909336
Parramatta North,6,0.37689737988768146
Parramatta North,12,0.2206830821588942
Parramatta North,24,0.3218281294587762
Parramatta North,48,0.20701141268353968
Penrith,1,0.8559685326963643
Penrith,3,0.5313523773163815
Penrith,6,0.2944620176279725
Penrith,12,0.1975014528914278
Penrith,24,0.3557749188828931
Penrith,48,0.24763410009691808
Prospect,1,0.8129002457216485
Prospect,3,0.5141535286343527
Prospect,6,0.3426145985896894
Prospect,12,0.2711649024460615
Prospect,24,0.2795087374260903
Prospect,48,0.17958534251851377
Randwick,1,0.8200951416666725
Randwick,3,0.4792562776855777
Randwick,6,0.28114781316010595
Randwick,12,0.17894060016806487
Randwick,24,0.22088798848185975
Randwick,48,0.12990266709082918
Rozelle,1,0.8739956362176271
Rozelle,3,0.6135071524307427
Rozelle,6,0.4318179323529638
Rozelle,12,0.30463181568887626
Rozelle,24,0.28736762044652736
Rozelle,48,0.16843066887598335
