Station,File
Camden,"Air Temperature, Relative Humidity.xls"
Camden,"NO2, CO, SO2.xls"
Camden,"Ozone, NO.xls"
Camden,"PM10, PM2.5, Ammonia - Copy.xlsx"
Camden,"PM10, PM2.5, Ammonia.xls"
Camden,Rainfall.xls
Camden,"Wind Speed, Wind Direction.xls"
Lindfield,"Air Temperature, Relative Humidity, Rainfall.xls"
Lindfield,"NO2, CO, SO2.xls"
Lindfield,"Ozone, NO.xls"
Lindfield,"PM10, PM2.5, Ammonia.xls"
Lindfield,"Wind Speed, Wind Direction.xls"
Liverpool,"Air Temperature, Relative Humidity.xls"
Liverpool,"NO2, CO.xls"
Liverpool,"Ozone, NO.xls"
Liverpool,"PM2.5, Ammonia.xls"
Liverpool,Rainfall.xls
Liverpool,"SO2, PM10.xls"
Liverpool,"Wind Speed, Wind Direction.xls"
Parramatta North,"Air Temperature, Relative Humidity.xls"
Parramatta North,"NO2, CO.xls"
Parramatta North,"Ozone, NO.xls"
Parramatta North,"PM2.5, Ammonia - Copy.xlsx"
Parramatta North,"PM2.5, Ammonia.xls"
Parramatta North,Rainfall.xls
Parramatta North,"SO2, PM10 - Copy.xlsx"
Parramatta North,"SO2, PM10.xls"
Parramatta North,"Wind speed, Wind Direction.xls"
Penrith,"Air Temperature, Relative humidity.xls"
Penrith,"NO2, CO.xls"
Penrith,"Ozone, NO.xls"
Penrith,"PM2.5, Ammonia.xls"
Penrith,Rainfall.xls
Penrith,"SO2, PM10.xls"
Penrith,"Wind Speed, Wind Direction.xls"
Prospect,"Air Temperature, Relative Humidity, Rainfall.xls"
Prospect,"NO2, CO.xls"
Prospect,"Ozone, NO.xls"
Prospect,"PM2.5, Ammonia.xls"
Prospect,"SO2, PM10.xls"
Prospect,"Wind Speed, Wind Direction.xls"
Randwick,"Air Temperature, Relative Humidity.xls"
Randwick,"NO2, CO, SO2.xls"
Randwick,Ozone and NO.xls
Randwick,"PM10, PM2.5, Ammonia.xls"
Randwick,Rainfall.xls
Randwick,"Wind Speed, Wind Direction.xls"
Rozelle,"Air Temperature, Relative Humidity.xls"
Rozelle,"NO2, CO.xls"
Rozelle,"Ozone, NO.xls"
Rozelle,"PM2.5, Ammonia.xls"
Rozelle,Rainfall.xls
Rozelle,"SO2, PM10.xls"
Rozelle,"Wind Speed, Wind Direction.xls"
Ultimo-UTS,"Air temperature, Relative Humidity, Rainfall.xls"
Ultimo-UTS,"NO2, CO.xls"
Ultimo-UTS,"Ozone, NO.xls"
Ultimo-UTS,"PM2.5, Ammonia.xls"
Ultimo-UTS,"SO2, PM10.xls"
Ultimo-UTS,Wind speed and Wind direction.xls
