Station,Variable,Missing_Count,Missing_Percentage
Randwick,RAIN,24524,42.73665133138157
Parramatta North,RAIN,20625,35.942074445838564
Camden,RAIN,15164,26.42548445559738
Liverpool,RAIN,15035,26.200683117245227
Liverpool,CO,15005,26.148403736233096
Penrith,CO,13478,23.48738324271574
Penrith,HUMID,5074,8.84218597518472
Penrith,TEMP,5055,8.809075700543707
Penrith,NO,5002,8.716715460755612
Penrith,NO2,5001,8.714972814721873
Penrith,SO2,4858,8.465774431897392
Penrith,RAIN,4775,8.321134811097169
Penrith,PM10,4759,8.293252474557368
Penrith,PM2.5,4713,8.213090757005437
Penrith,WDR,4538,7.908127701101353
Penrith,OZONE,4532,7.897671824898926
Penrith,WSP,4427,7.7146939913564765
Camden,CO,4163,7.254635438449743
Prospect,CO,2980,5.193085180538129
Prospect,PM2.5,2853,4.97176913425345
Camden,NO,2777,4.839328035689391
Camden,NO2,2774,4.834100097588178
Camden,OZONE,2499,4.3548724383103306
Randwick,WDR,2190,3.8163948138854034
Randwick,WSP,1781,3.103652586086714
Rozelle,SO2,1703,2.967726195455179
Rozelle,RAIN,1651,2.8771086017008227
Rozelle,CO,1591,2.772549839676565
Parramatta North,PM2.5,1467,2.556461731493099
Camden,PM2.5,1252,2.181792834239509
Randwick,SO2,1138,1.98313118639342
Prospect,PM10,1087,1.8942562386728006
Liverpool,PM2.5,1063,1.8524327338630977
Parramatta North,NO,1011,1.7618151401087412
Randwick,HUMID,969,1.6886240066917608
Randwick,TEMP,969,1.6886240066917608
Randwick,NO2,949,1.653771086017008
Prospect,NO,900,1.5683814303638646
Prospect,NO2,891,1.552697616060226
Randwick,NO,884,1.5404990938240624
Liverpool,OZONE,863,1.5039035271155723
Camden,WDR,764,1.3313815697755471
Liverpool,SO2,735,1.280844834797156
Rozelle,OZONE,734,1.2791021887634184
Parramatta North,NO2,726,1.2651610204935173
Prospect,WDR,716,1.2477345601561411
Rozelle,NO2,715,1.2459919141224034
Rozelle,NO,656,1.1431757981318835
Rozelle,WDR,646,1.1257493377945071
Prospect,SO2,574,1.000278823365398
Randwick,PM2.5,557,0.9706538407918583
Rozelle,PM10,529,0.9218597518472048
Prospect,OZONE,520,0.9061759375435661
Randwick,OZONE,457,0.7963892374180955
Camden,PM10,438,0.7632789627770807
Rozelle,PM2.5,420,0.7319113341698034
Camden,WSP,402,0.7005437055625261
Liverpool,WDR,399,0.6953157674613133
Prospect,WSP,386,0.6726613690227241
Rozelle,WSP,362,0.6308378642130211
Randwick,PM10,355,0.6186393419768577
Parramatta North,SO2,354,0.61689669594312
Liverpool,NO,339,0.5907570054370557
Liverpool,NO2,338,0.589014359403318
Parramatta North,CO,332,0.5785584832008922
Camden,HUMID,300,0.5227938101212881
Camden,TEMP,300,0.5227938101212881
Rozelle,TEMP,287,0.500139411682699
Rozelle,HUMID,287,0.500139411682699
Prospect,HUMID,240,0.41823504809703055
Prospect,TEMP,239,0.4164924020632929
Parramatta North,PM10,213,0.3711836051861146
Liverpool,HUMID,182,0.31716157814024815
Liverpool,TEMP,145,0.2526836748919559
Parramatta North,WDR,103,0.1794925414749756
Liverpool,PM10,87,0.15161020493517358
Liverpool,WSP,85,0.14812491286769833
