Station,Variable,Minimum,Maximum,Missing,Valid_Values
Camden,CAMDEN TEMP 1h average [°C],-1.6,45.2,904,56480
Camden,CAMDEN HUMID 1h average [%],9.3,103.9,920,56464
Camden,CAMDEN NO2 1h average [pphm],-0.1,4.1,5844,51540
Camden,CAMDEN CO 1h average [ppm],-0.2,4.9,6062,51322
Camden,CAMDEN NO 1h average [pphm],-0.2,6.0,5847,51537
Camden,CAMDEN OZONE 1h average [pphm],-0.1,11.5,5334,52050
Camden,CAMDEN PM10 1h average [µg/m³],-9.9,1199.0,1240,56144
Camden,CAMDEN PM2.5 1h average [µg/m³],-10.0,513.0,3040,54344
Camden,CAMDEN RAIN 1h average [mm/m²],0.0,60.6,15164,42220
Camden,CAMDEN WDR 1h average [°],0.0,360.0,764,56620
Camden,CAMDEN WSP 1h average [m/s],0.0,11.2,759,56625
Liverpool,LIVERPOOL TEMP 1h average [°C],1.4,46.8,780,56604
Liverpool,LIVERPOOL HUMID 1h average [%],8.4,103.9,821,56563
Liverpool,LIVERPOOL NO2 1h average [pphm],-0.4,6.3,3891,53493
Liverpool,LIVERPOOL CO 1h average [ppm],-0.2,2.4,6241,51143
Liverpool,LIVERPOOL NO 1h average [pphm],-0.2,29.0,3893,53491
Liverpool,LIVERPOOL OZONE 1h average [pphm],-0.2,10.3,3829,53555
Liverpool,LIVERPOOL PM2.5 1h average [µg/m³],-10.0,183.7,2170,55214
Liverpool,LIVERPOOL RAIN 1h average [mm/m²],0.0,52.6,15035,42349
Liverpool,LIVERPOOL SO2 1h average [pphm],-0.2,2.4,3811,53573
Liverpool,LIVERPOOL PM10 1h average [µg/m³],-10.0,1545.8,1013,56371
Liverpool,LIVERPOOL WDR 1h average [°],0.0,360.0,399,56985
Liverpool,LIVERPOOL WSP 1h average [m/s],0.0,11.7,399,56985
Parramatta North,PARRAMATTA NORTH TEMP 1h average [°C],1.5,46.4,413,56971
Parramatta North,PARRAMATTA NORTH HUMID 1h average [%],7.9,101.3,428,56956
Parramatta North,PARRAMATTA NORTH NO2 1h average [pphm],-0.2,4.7,4255,53129
Parramatta North,PARRAMATTA NORTH CO 1h average [ppm],-0.2,4.7,3337,54047
Parramatta North,PARRAMATTA NORTH NO 1h average [pphm],-0.2,32.0,4252,53132
Parramatta North,PARRAMATTA NORTH OZONE 1h average [pphm],-0.1,10.7,2559,54825
Parramatta North,PARRAMATTA NORTH PM2.5 1h average [µg/m³],-10.0,136.6,2393,54991
Parramatta North,PARRAMATTA NORTH RAIN 1h average [mm/m²],0.0,39.8,20625,36759
Parramatta North,PARRAMATTA NORTH SO2 1h average [pphm],-0.2,3.6,3216,54168
Parramatta North,PARRAMATTA NORTH PM10 1h average [µg/m³],-9.9,803.7,754,56630
Parramatta North,PARRAMATTA NORTH WDR 1h average [°],0.0,360.0,103,57281
Parramatta North,PARRAMATTA NORTH WSP 1h average [m/s],0.0,6.0,103,57281
Penrith,PENRITH TEMP 1h average [°C],-0.7,43.0,5394,51990
Penrith,PENRITH HUMID 1h average [%],0.0,113.8,5425,51959
Penrith,PENRITH NO2 1h average [pphm],-0.4,3.7,7859,49525
Penrith,PENRITH CO 1h average [ppm],-0.2,14.1,9020,48364
Penrith,PENRITH NO 1h average [pphm],-0.2,11.9,7862,49522
Penrith,PENRITH OZONE 1h average [pphm],-0.2,9.8,6933,50451
Penrith,PENRITH PM2.5 1h average [µg/m³],-10.0,162.6,5773,51611
Penrith,PENRITH RAIN 1h average [mm/m²],0.0,62.8,4775,52609
Penrith,PENRITH SO2 1h average [pphm],-0.2,1.9,7462,49922
Penrith,PENRITH PM10 1h average [µg/m³],-10.0,14073.1,5459,51925
Penrith,PENRITH WDR 1h average [°],0.0,360.0,4538,52846
Penrith,PENRITH WSP 1h average [m/s],0.0,12.7,4538,52846
Prospect,PROSPECT TEMP 1h average [°C],1.5,45.9,763,56621
Prospect,PROSPECT HUMID 1h average [%],7.8,103.4,779,56605
Prospect,PROSPECT NO2 1h average [pphm],-0.3,4.9,3946,53438
Prospect,PROSPECT CO 1h average [ppm],-0.2,2.1,4097,53287
Prospect,PROSPECT NO 1h average [pphm],-0.2,23.3,3947,53437
Prospect,PROSPECT OZONE 1h average [pphm],0.0,10.2,3186,54198
Prospect,PROSPECT PM2.5 1h average [µg/m³],-9.9,145.8,3930,53454
Prospect,PROSPECT SO2 1h average [pphm],-0.2,2.6,3440,53944
Prospect,PROSPECT PM10 1h average [µg/m³],-10.0,933.3,1585,55799
Prospect,PROSPECT WDR 1h average [°],0.0,360.0,716,56668
Prospect,PROSPECT WSP 1h average [m/s],0.0,11.0,715,56669
Randwick,RANDWICK TEMP 1h average [°C],2.7,41.7,1494,55890
Randwick,RANDWICK HUMID 1h average [%],9.1,107.1,1510,55874
Randwick,RANDWICK SO2 1h average [pphm],-0.7,3.6,3992,53392
Randwick,RANDWICK NO2 1h average [pphm],-0.3,12.8,4366,53018
Randwick,RANDWICK NO 1h average [pphm],-0.2,24.1,4371,53013
Randwick,RANDWICK OZONE 1h average [pphm],-0.1,9.0,3241,54143
Randwick,RANDWICK PM10 1h average [µg/m³],-9.9,544.7,941,56443
Randwick,RANDWICK PM2.5 1h average [µg/m³],-10.0,556.3,1516,55868
Randwick,RANDWICK RAIN 1h average [mm/m²],0.0,42.4,24524,32860
Randwick,RANDWICK WDR 1h average [°],0.0,360.0,2190,55194
Randwick,RANDWICK WSP 1h average [m/s],0.0,11.7,2190,55194
Rozelle,ROZELLE TEMP 1h average [°C],4.0,42.2,862,56522
Rozelle,ROZELLE HUMID 1h average [%],9.2,99.2,878,56506
Rozelle,ROZELLE NO2 1h average [pphm],-0.5,5.0,4133,53251
Rozelle,ROZELLE CO 1h average [ppm],-0.2,3.3,4647,52737
Rozelle,ROZELLE NO 1h average [pphm],-0.2,14.1,4138,53246
Rozelle,ROZELLE OZONE 1h average [pphm],-0.1,8.3,3570,53814
Rozelle,ROZELLE PM2.5 1h average [µg/m³],-9.9,159.7,1321,56063
Rozelle,ROZELLE RAIN 1h average [mm/m²],0.0,49.8,1651,55733
Rozelle,ROZELLE SO2 1h average [pphm],-0.2,3.9,4606,52778
Rozelle,ROZELLE PM10 1h average [µg/m³],-10.0,420.2,1240,56144
Rozelle,ROZELLE WDR 1h average [°],0.0,360.0,646,56738
Rozelle,ROZELLE WSP 1h average [m/s],0.0,19.2,646,56738
